Mol. wt.,JR Tm /K,CRC Tm /K
336.4319999999995,602.31,394.15
152.19600000000003,335.62,362.55
44.05300000000001,154.3,149.74999999999997
135.16600000000005,308.93,387.5
150.18100000000007,361.59,403.15
102.08899999999996,345.37,309.65
75.06699999999998,275.71000000000004,363.15
170.21100000000007,346.57000000000005,325.15
85.10599999999997,263.07,254.15
120.15099999999994,256.27,292.54999999999995
131.131,394.3,398.15
179.17500000000007,493.32,529.65
223.2750000000001,481.02,466.15
173.21200000000013,443.11,377.65
164.16000000000005,440.66,387.65
164.16000000000005,440.66,481.15
122.94899999999998,222.03,176.64999999999998
163.19800000000006,430.75999999999993,382.65
26.038,100.14,191.65
62.04300000000001,162.82,189.15
117.10399999999996,398.03,479.15
191.2520000000001,451.24,387.65
191.2520000000001,451.24,378.65
309.2709999999997,796.1499999999999,459.15
180.15900000000005,433.06,461.65
178.18700000000007,321.14000000000004,322.15
235.28300000000013,392.61,366.15
166.24500000000006,314.46000000000004,354.65
223.2280000000001,600.06,426.15
159.18500000000012,401.84,437.15
194.23700000000008,507.93000000000006,514.15
209.2520000000001,603.71,558.15
71.07899999999998,255.0,358.15
53.06400000000001,186.8,189.64
221.3440000000002,319.89,296.15
269.77199999999976,433.55,315.15
364.91399999999976,561.8199999999999,376.95
180.1560000000001,443.48,401.15
180.1560000000001,443.48,401.15
180.1560000000001,443.48,401.15
142.15400000000008,259.15000000000003,188.15
57.09600000000002,205.07,184.95
110.19999999999992,189.06,162.54999999999998
131.131,300.16,330.15
206.2410000000001,339.26,303.65
134.17800000000005,327.57,288.95
180.1560000000001,443.48,376.65
180.1560000000001,443.48,376.65
180.1560000000001,443.48,376.65
227.33700000000016,581.99,356.75
74.08299999999997,328.75,340.65
136.15400000000005,424.04,456.15
181.147,635.8399999999999,633.15
122.17099999999996,374.11,334.15
125.19599999999996,316.04,299.15
118.13899999999995,355.84000000000003,324.15
118.13899999999995,355.84000000000003,359.35
266.2529999999998,755.9899999999999,446.15
169.2270000000001,373.62,322.28
169.2270000000001,373.62,324.15
103.12099999999997,363.7,467.45
208.2610000000001,392.65,368.15
237.0970000000001,466.65,391.15
195.1740000000001,546.15,494.15
171.58300000000006,493.89,461.15
143.57300000000006,421.22,413.15
206.028,536.33,475.15
178.01800000000003,463.66,368.65
199.12200000000004,691.04,441.15
105.13699999999994,301.15,260.65
151.2090000000001,331.69000000000005,350.65
119.16399999999992,353.43000000000006,310.65
117.19199999999992,301.46000000000004,330.15
153.13700000000006,563.17,526.65
119.11999999999996,424.52,489.15
126.11899999999996,569.56,443.15
157.21300000000014,426.92,522.15
123.15499999999994,402.57,449.65
105.13699999999996,342.16,384.08
103.12099999999997,363.7,458.15
171.2840000000002,393.24,318.65
159.18800000000007,469.08,443.15
182.135,607.5799999999999,542.15
163.13600000000005,511.97,476.65
154.12500000000006,534.91,478.95
159.22900000000016,408.78,543.15
131.131,439.9,391.15
109.12799999999996,378.78,446.65
109.12799999999996,378.78,459.15
150.18100000000007,404.71,439.65
135.16600000000005,339.53000000000003,293.15
135.16600000000005,352.05000000000007,378.15
149.1930000000001,363.3200000000001,413.15
75.11099999999996,252.65,274.85
151.2090000000001,397.59,398.65
108.10399999999998,501.36,446.15
164.41900000000004,333.56,346.15
309.40899999999954,504.2,316.54999999999995
260.46500000000015,397.37,323.15
292.46299999999934,510.53,496.15
209.2450000000001,557.58,460.65
221.25600000000009,518.5,359.15
275.5259999999999,638.63,432.45
137.13800000000003,451.45,417.75
137.13800000000003,451.45,461.35
265.35999999999984,571.6500000000001,395.15
178.2340000000001,351.88,489.15
222.24300000000005,536.27,524.65
222.24300000000005,536.27,492.15
208.26000000000008,436.49,433.65
226.23100000000005,687.0400000000001,481.15
194.2330000000001,463.6,425.15
152.1460000000001,405.21,375.65
152.1460000000001,405.21,375.65
150.13000000000008,386.39,437.65
150.13000000000008,386.39,437.65
150.13000000000008,386.39,437.65
176.12400000000005,471.73,464.15
414.5389999999994,633.56,385.15
294.3069999999996,632.74,519.65
133.10300000000004,524.3,550.65
133.10300000000004,524.3,543.15
215.68800000000013,566.24,450.15
128.17399999999995,261.58000000000004,372.15
258.104,513.6,345.54999999999995
325.4079999999996,502.77,352.15
229.28200000000007,502.4500000000001,405.15
228.29400000000007,442.18,433.15
120.15099999999994,248.34000000000003,306.65
136.15000000000006,366.94000000000005,349.85
117.15099999999995,271.33000000000004,251.05
138.12200000000004,298.22,315.15
108.14399999999996,362.84,376.15
108.14399999999996,362.84,413.45
203.02400000000003,378.56000000000006,316.65
164.16400000000007,485.24,495.15
138.16600000000008,340.5,339.15
138.16600000000008,340.5,390.65
194.1860000000001,326.06,396.65
142.24800000000005,269.24,301.65
121.18299999999994,289.6,273.15
124.20799999999994,231.53000000000003,243.15
134.17800000000005,259.61,320.15
150.17700000000008,378.21,321.54999999999995
179.2190000000001,354.47,376.55
110.18099999999995,220.26,258.28
210.141,724.45,482.15
210.141,724.45,653.15
126.11099999999996,506.44,398.65
126.11099999999996,506.44,489.15
298.4259999999995,546.44,437.15
210.23200000000008,400.24,367.99
118.13899999999995,407.1,445.35
278.3539999999997,532.48,398.55
137.13800000000003,378.69,315.15
152.14900000000006,367.52,331.15
218.20800000000008,502.22,488.95
252.3160000000001,516.22,438.35
216.28300000000007,433.67,462.75
118.13499999999996,268.37,255.15
134.13400000000004,290.41,323.15
136.15400000000005,380.92,388.15
212.24800000000008,396.13,410.15
276.33799999999974,590.26,553.15
182.2220000000001,339.04,321.15
146.14500000000004,298.92,320.15
252.3160000000001,516.22,452.15
179.2220000000001,412.15,365.15
136.17900000000003,445.79,316.85
150.20600000000005,481.30000000000007,360.15
165.22100000000006,533.96,475.95
134.20300000000003,325.25,304.48
119.12699999999997,467.37,373.15
119.12299999999996,328.64000000000004,302.51
211.22000000000008,546.9200000000001,396.65
257.245,687.81,533.65
226.23100000000005,523.4300000000001,472.15
258.32,445.6,374.65
140.56900000000005,274.92,272.65
124.11399999999996,245.59,245.15
232.02,303.06,276.15
313.35299999999967,587.0999999999999,392.65
150.17700000000008,259.94000000000005,221.65
183.2540000000001,384.89,307.65
240.3020000000001,468.52,363.15
212.24800000000008,342.71000000000004,292.15
238.2860000000001,360.17,312.15
290.4469999999994,372.64,281.65
296.3219999999997,425.04,332.15
182.2660000000001,312.90000000000003,279.76
122.16699999999992,228.57,220.55
280.2799999999997,636.47,407.65
322.36099999999965,624.68,373.15
152.1930000000001,300.66,198.15
184.23800000000008,400.83,357.15
175.27500000000012,363.83,289.95
169.22700000000006,349.38,285.54999999999995
149.21800000000005,305.73,316.15
328.27299999999974,819.19,511.15
354.45199999999977,639.0400000000001,594.45
94.15699999999994,201.77,319.35
154.25300000000016,280.84000000000003,293.15
422.8739999999996,517.61,342.15
254.33200000000008,458.44,432.15
286.3299999999997,681.8800000000001,493.15
154.21200000000007,277.84000000000003,342.08
179.2220000000001,366.62,361.15
184.2420000000001,469.4,354.15
242.23000000000005,646.62,506.65
186.2100000000001,501.28,370.65
218.20800000000008,724.72,583.15
196.24900000000008,362.83,394.15
156.18800000000007,398.38000000000005,343.04999999999995
156.18800000000007,398.38000000000005,341.15
256.30800000000005,578.98,469.15
361.39699999999976,583.2,407.15
103.16899999999994,354.02,234.15
248.3760000000001,538.2,366.15
212.2960000000001,491.94,410.15
263.95999999999987,338.46,368.15
263.95999999999987,338.46,417.65
328.0029999999998,444.71,327.15
368.5609999999994,702.71,396.15
218.12700000000007,321.19000000000005,318.15
159.08100000000007,229.08,286.65
175.05800000000008,278.7,307.15
114.959,194.37,231.65
173.0390000000001,330.01,356.15
287.2359999999998,431.52,345.95
267.15499999999975,448.50000000000006,343.15
237.12900000000008,373.99,328.65
421.75199999999984,428.06,389.65
307.9909999999999,469.83,344.15
118.029,106.89,149.99999999999997
270.3759999999997,469.99,375.15
250.3820000000002,537.3,453.15
222.2400000000001,397.42,315.65
412.6549999999992,426.17,195.15
390.56399999999945,453.8399999999999,218.15
706.148,743.12,309.04999999999995
287.16699999999986,620.5600000000001,447.15
287.4439999999994,474.12,311.85
148.20600000000013,384.34,373.25
195.2620000000001,406.78,337.65
254.23800000000008,470.24,382.65
274.2719999999997,654.52,412.25
352.3389999999997,446.05,290.45
200.23700000000008,512.55,435.65
364.4409999999996,482.49000000000007,346.15
282.29199999999963,415.6,213.15
246.4000000000001,394.22,320.65
270.37199999999973,394.76,313.15
214.33300000000008,359.82000000000005,330.45
308.33999999999986,658.9,357.15
272.25999999999976,612.6400000000001,454.95
354.8319999999999,577.3600000000001,469.15
356.0569999999999,705.44,461.15
394.5109999999996,472.88,471.15
196.29000000000016,339.01,300.15
153.26900000000018,357.4,436.15
172.69900000000015,304.06,401.15
527.4140000000007,854.7499999999999,478.15
543.8750000000006,826.7900000000001,452.15
138.94800000000004,332.70000000000005,323.15
199.04700000000005,316.07000000000005,324.15
172.02500000000003,339.38,304.04999999999995
172.02500000000003,339.38,336.02
187.03600000000003,289.62,286.65
215.04600000000005,439.26,389.15
196.04700000000005,316.13,302.15
189.07700000000003,292.58000000000004,346.15
201.019,427.99,429.85
182.02000000000004,332.38,328.65
182.02000000000004,332.38,387.15
219.46500000000003,347.24,284.15
233.1080000000001,350.16,360.15
249.933,327.19,315.15
265.93599999999986,409.38,325.15
137.02000000000007,194.64,160.64999999999998
167.00200000000004,340.24,271.15
135.00400000000005,189.56,172.84999999999997
135.00400000000005,178.92000000000002,139.74999999999997
135.00400000000005,175.6,161.95
135.00400000000005,175.6,157.74999999999997
213.11800000000008,303.62,292.15
191.45500000000004,286.04,260.54999999999995
191.45500000000004,286.04,337.92999999999995
143.41100000000003,202.02,256.45
129.384,190.75,185.25
233.49200000000005,358.51,369.65
163.05800000000008,224.56,216.87
221.18200000000016,262.26,243.85
225.90000000000003,328.48,356.15
163.829,205.67,217.15
130.919,147.01,127.99999999999996
185.06400000000008,291.17999999999995,256.15
185.06400000000008,291.17999999999995,272.95
247.004,555.86,348.15
249.23600000000025,284.8,263.54999999999995
108.96599999999997,172.1,154.74999999999997
201.06300000000007,300.89000000000004,275.15
167.00200000000007,236.97,259.35
185.06400000000005,278.66,205.65
194.0720000000001,352.79,340.15
181.032,325.63,337.65
319.3709999999993,341.15,301.54999999999995
305.3439999999993,329.88,290.65
165.0740000000001,217.18,188.25
203.03500000000005,439.93,386.15
282.9059999999999,314.18,275.25
282.9059999999999,314.18,363.52
208.05800000000005,394.17,314.65
186.05200000000008,363.17,299.15
171.03700000000006,254.87,271.65
196.04700000000005,343.65,369.65
151.0470000000001,190.91,161.14999999999998
185.06400000000005,278.66,294.15
221.0970000000001,345.17,329.15
216.03400000000005,411.0,332.45
232.03300000000004,522.72,421.15
213.07400000000004,339.86,324.15
137.02000000000007,197.06,256.35
207.07,333.9,331.15
217.022,495.51,384.65
202.007,399.73,327.15
199.98800000000003,451.04,404.65
333.3979999999993,352.42,300.75
223.11000000000013,400.32,311.65
246.96,309.15000000000003,242.15
151.0470000000001,190.91,177.64999999999998
181.02900000000008,366.51,313.15
173.00900000000004,355.32,278.75
173.00900000000004,355.32,336.15
214.06200000000007,381.25,441.15
199.04700000000005,328.59000000000003,323.65
261.1179999999999,411.36,355.65
122.99299999999997,168.37,184.25
152.97500000000002,343.97,335.65
120.97699999999998,178.29,160.14999999999998
120.97699999999998,181.61,153.84999999999997
215.0900000000001,299.64,283.85
157.99800000000005,303.87,233.05
157.99800000000002,303.87,273.65
208.058,394.17,297.15
205.076,392.26,367.65
171.03700000000006,267.39,235.05
198.274,253.01,267.54999999999995
162.93600000000004,176.29000000000002,179.24999999999997
225.007,271.58000000000004,274.15
229.93,594.0799999999999,291.15
235.2090000000002,273.53,263.25
183.04800000000003,261.06000000000006,266.15
183.04800000000003,261.06000000000006,280.15
183.04800000000003,276.9,220.45
225.29600000000016,581.09,360.15
54.09200000000001,139.59,136.95
130.18999999999997,222.04,275.45
72.10699999999996,176.84,176.28999999999996
58.12400000000002,134.84,134.84999999999997
90.12199999999994,241.48,196.15
