Mol. wt.,JR Tm /K,CRC Tm /K
44.05300000000001,154.3,149.74999999999997
58.08000000000001,173.5,178.24999999999997
120.15099999999994,256.27,292.54999999999995
53.06400000000001,186.8,189.64
89.13799999999995,281.34000000000003,298.65
108.13999999999994,217.3,235.85
110.18099999999995,220.26,258.28
150.17700000000008,259.94000000000005,221.65
212.24800000000008,342.71000000000004,292.15
137.02000000000007,194.64,160.64999999999998
108.96599999999997,172.1,154.74999999999997
94.93899999999998,160.82999999999998,179.45
137.02000000000007,197.06,256.35
151.0470000000001,205.91,185.15
122.99299999999997,168.37,184.25
54.09200000000001,139.59,136.95
72.10699999999996,176.84,176.28999999999996
90.12199999999994,241.48,196.15
90.19099999999996,171.3,157.48999999999998
74.12299999999995,180.66,184.71
56.10800000000002,133.08,87.81999999999996
56.10800000000002,129.76,167.63
73.13899999999995,218.1,224.15
73.13899999999995,220.52,206.23
126.2429999999999,202.09,165.2
118.24499999999992,191.78,178.04999999999998
104.21799999999992,180.51,175.33999999999995
54.09200000000001,181.81,147.45
152.23700000000014,346.6,451.85
112.55899999999995,213.72000000000003,227.95
86.468,117.13,115.73
80.51399999999998,203.04,205.15
120.62299999999992,187.3,179.14999999999998
106.59599999999996,161.03,168.74999999999997
92.56899999999996,167.18,247.55
154.465,150.01000000000002,173.74999999999997
78.54199999999997,153.49,150.24999999999997
76.52599999999998,151.73,137.14999999999998
126.58599999999996,237.51,280.54999999999995
108.13999999999994,306.79,304.15
108.13999999999994,306.79,307.92
56.10800000000002,153.5,182.45
82.14599999999994,169.76,169.64999999999998
70.13499999999998,161.25,179.74999999999997
42.08100000000002,145.75,145.54999999999998
138.25400000000005,224.26,230.25
142.2860000000001,202.46,243.54
187.862,231.9,282.95
201.88900000000007,228.17,217.75
129.24699999999993,232.58,211.35
278.3479999999996,393.68,238.15
147.00400000000002,256.16,256.15
147.00400000000002,256.16,326.25
98.95999999999998,157.14,176.21999999999997
96.944,156.42000000000002,150.64999999999998
96.944,167.06,223.3
102.923,146.46,142.79999999999998
112.98699999999998,183.41,173.64999999999998
105.13699999999994,309.14,301.04999999999995
118.17599999999992,201.84,199.15
73.13899999999995,187.5,223.15
106.12099999999994,278.71000000000004,262.85
74.12299999999995,157.07,156.91999999999996
146.14200000000008,242.04,232.55
90.19099999999996,169.24,169.24999999999997
114.09399999999998,197.5,204.04
66.05,98.48,154.55999999999997
101.19299999999993,180.04,212.15
118.24499999999992,161.78,195.12
90.12199999999994,179.3,204.15
86.17799999999993,159.8,174.14999999999998
100.16099999999992,209.73,221.75
112.21599999999992,211.2,239.84
112.21599999999992,183.06,197.64
98.18899999999992,175.31,139.48
46.06900000000002,134.53,131.65999999999997
114.2319999999999,149.92000000000002,182.01
60.100000000000016,228.03,216.0
100.20499999999991,138.65,153.98999999999998
114.18799999999992,221.0,228.15
83.13399999999996,213.52,292.12
107.15599999999996,279.13,259.07
107.15599999999996,279.13,262.7
62.137000000000015,146.7,174.89
88.10599999999995,199.6,284.9
170.21100000000007,300.07000000000005,300.015
101.19299999999993,210.04,210.15
102.17699999999994,179.61,158.34999999999997
118.24499999999992,191.78,170.46999999999997
170.34000000000023,225.0,263.6
282.5559999999996,315.16,309.63
72.10699999999996,179.35,123.14999999999998
30.07,112.3,90.36999999999998
60.100000000000016,278.82,284.29
62.06800000000002,233.94,260.15
94.20399999999998,185.22,231.95
62.137000000000015,148.76,125.26
46.06900000000002,173.12,159.01
61.08400000000002,256.38,283.54999999999995
90.12199999999994,217.89,203.15
132.159,221.94,211.45
88.10599999999995,177.17000000000002,189.35
100.11699999999996,186.68,202.15
106.16799999999994,206.34000000000003,178.2
116.15999999999993,199.71,176.14999999999998
102.17699999999992,203.2,258.15
122.55099999999996,207.09,252.15
84.16199999999994,171.8,130.24999999999997
112.21599999999992,187.3,161.86999999999998
98.18899999999992,179.55,134.73
130.18699999999995,213.4,183.65
28.053999999999995,113.86,103.98999999999998
130.23099999999994,225.74,203.15
172.26800000000017,229.79,193.15
104.21799999999992,165.51,150.95
130.18699999999995,195.98,173.84999999999997
112.21599999999992,214.72,129.34999999999997
114.2319999999999,149.92000000000002,158.14999999999998
114.2319999999999,182.34,182.35
116.15999999999993,184.71,175.34999999999997
76.16399999999996,157.97,167.26
