EnthalpyFus/MW,JR Tm /K,CRC Tm /K
0.1399391258857661,602.31,394.15
0.1149833109937186,335.62,362.55
0.0733207727056046,154.3,149.74999999999997
0.1267330541704274,308.93,387.5
0.1473555243339702,361.59,403.15
0.1749453907864707,345.37,309.65
0.1549282640840849,275.71000000000004,363.15
0.1122724148263037,346.57000000000005,325.15
0.0505252273635231,263.07,254.15
0.1008730680560295,256.27,292.54999999999995
0.1672373428098618,394.3,398.15
0.1644760708804241,493.32,529.65
0.1316313962602171,481.02,466.15
0.1918458305429183,443.11,377.65
0.1490009746588693,440.66,387.65
0.1490009746588693,440.66,481.15
0.063603608000065,222.03,176.64999999999998
0.1591931273667569,430.75999999999993,382.65
0.1444043321299639,100.14,191.65
0.0905823380558644,162.82,189.15
0.1952964885913377,398.03,479.15
0.1633446970489196,451.24,387.65
0.1633446970489196,451.24,378.65
0.165291928438166,796.1499999999999,459.15
0.1511442670085868,433.06,461.65
0.1216138102106213,321.14000000000004,322.15
0.1314162094158948,392.61,366.15
0.1109807813768834,314.46000000000004,354.65
0.1670937337609976,600.06,426.15
0.1481923548072996,401.84,437.15
0.1393143427874194,507.93000000000006,514.15
0.1523043985242673,603.71,558.15
0.1271824308164155,255.0,358.15
0.0706693803708728,186.8,189.64
0.161332586381379,319.89,296.15
0.130777100662782,433.55,315.15
0.0836909518407077,561.8199999999999,376.95
0.1106263460556406,443.48,401.15
0.1106263460556406,443.48,401.15
0.1106263460556406,443.48,401.15
0.1306329755054377,259.15000000000003,188.15
0.130306851618327,205.07,184.95
0.0828493647912886,189.06,162.54999999999998
0.1593063425124493,300.16,330.15
0.1182112189137949,339.26,303.65
0.1312435719715601,327.57,288.95
0.1106263460556406,443.48,376.65
0.1106263460556406,443.48,376.65
0.1106263460556406,443.48,376.65
0.1687802689399436,581.99,356.75
0.1745339686567769,328.75,340.65
0.1434405158864226,424.04,456.15
0.1944277299651664,635.8399999999999,633.15
0.1467615064131422,374.11,334.15
0.1133422793060481,316.04,299.15
0.1205359788046284,355.84000000000003,324.15
0.1205359788046284,355.84000000000003,359.35
0.1842608346197039,755.9899999999999,446.15
0.1165889603904813,373.62,322.28
0.1165889603904813,373.62,324.15
0.1738734108474511,363.7,467.45
0.1436178641224232,392.65,368.15
0.1061169057390013,466.65,391.15
0.1580640864049514,546.15,494.15
0.1555515406537943,493.89,461.15
0.1402074206152966,421.22,413.15
0.1479895936474654,536.33,475.15
0.13442460874743,463.66,368.65
0.1921435100089392,691.04,441.15
0.1577941162483237,301.15,260.65
0.1015151214544107,331.69000000000005,350.65
