EnthalpyFus,JR Tm /K,CRC Tm /K
44.43,583.2,407.15
21.52,354.02,234.15
32.79,538.2,366.15
29.71,491.94,410.15
20.7,338.46,368.15
20.7,338.46,417.65
25.9,444.71,327.15
43.77,702.71,396.15
27.11,321.19000000000005,318.15
18.64,229.08,286.65
18.52,278.7,307.15
10.52,194.37,231.65
17.86,330.01,356.15
30.79,431.52,345.95
24.39,448.50000000000006,343.15
25.12,373.99,328.65
24.22,428.06,389.65
31.34,469.83,344.15
7.4,106.89,149.99999999999997
33.7,469.99,375.15
27.59,537.3,453.15
35.09,397.42,315.65
62.2,426.17,195.15
53.26,453.8399999999999,218.15
72.84,743.12,309.04999999999995
38.23,620.5600000000001,447.15
49.99,474.12,311.85
29.49,384.34,373.25
29.1,406.78,337.65
37.4,470.24,382.65
37.45,654.52,412.25
44.73,446.05,290.45
29.07,512.55,435.65
38.77,482.49000000000007,346.15
36.78,415.6,213.15
27.58,394.22,320.65
18.01,394.76,313.15
23.45,359.82000000000005,330.45
45.12,658.9,357.15
42.04,612.6400000000001,454.95
31.81,577.3600000000001,469.15
45.85,705.44,461.15
71.6,472.88,471.15
14.92,339.01,300.15
10.57,357.4,436.15
9.57,304.06,401.15
60.93,854.7499999999999,478.15
46.42,826.7900000000001,452.15
16.36,332.70000000000005,323.15
17.4,316.07000000000005,324.15
15.43,339.38,304.04999999999995
15.43,339.38,336.02
14.01,289.62,286.65
25.56,439.26,389.15
13.79,316.13,302.15
14.27,292.58000000000004,346.15
22.97,427.99,429.85
14.33,332.38,328.65
14.33,332.38,387.15
18.62,347.24,284.15
19.81,350.16,360.15
18.11,327.19,315.15
17.46,409.38,325.15
11.4,194.64,160.64999999999998
18.02,340.24,271.15
11.6,189.56,172.84999999999997
8.81,178.92000000000002,139.74999999999997
10.29,175.6,161.95
10.29,175.6,157.74999999999997
13.18,303.62,292.15
14.43,286.04,260.54999999999995
14.43,286.04,337.92999999999995
10.42,202.02,256.45
7.83,190.75,185.25
21.21,358.51,369.65
8.42,224.56,216.87
26.94,262.26,243.85
18.24,328.48,356.15
8.5,205.67,217.15
6.27,147.01,127.99999999999996
15.02,291.17999999999995,256.15
15.02,291.17999999999995,272.95
32.57,555.86,348.15
32.12,284.8,263.54999999999995
6.22,172.1,154.74999999999997
16.6,300.89000000000004,275.15
15.77,236.97,259.35
15.41,278.66,205.65
15.96,352.79,340.15
18.39,325.63,337.65
